,duns,companyname,coco,national_id,national_idco
449,100005644,EMERY UNIFIED SCHOOL DISTRICT,805,,NA
450,100005701,ETNA UNION HIGH SCHOOL DIST,805,,NA
451,100005714,"CHICAGO'S PIZZA, INC",805,,NA
452,100005768,FAIRFAX ELEMENTARY SCHOOL DISTRICT,805,,NA
453,100005776,ROSS VALLEY SCHOOL DISTRICT,805,,NA
454,100005792,FALLBROOK UNION ELEM SCHOOL DIST,805,,NA
455,100005867,FORT JONES UNION ELEMENTRY SCHOOL DISTRICT,805,,NA
456,100005883,FORTUNA UNION ELEMENTARY SCHOOL DISTRICT,805,,NA
457,100005958,FULLERTON SCHOOL DISTRICT,805,,NA
458,100005974,GALT JOINT UNION HIGH SCHOOL DISTRICT,805,,NA
459,100006048,GRAVENSTEIN UNION ELEMENTARY SCHOOL DISTRICT,805,,NA
460,100006071,GREENFIELD UNION SCHOOL DISTRICT INCORPORATED,805,,NA
461,100006089,GREENFIELD UNION SCHOOL DISTRICT,805,,NA
462,100006121,GUADALUPE UNION SCHOOL DISTRICT,805,,NA
463,100006154,GUSTINE UNIFIED SCHOOL DISTRICT,805,,NA
464,100006402,IGO-ONO-PLATINA UNION SCHOOL DISTRICT,805,,NA
465,100006444,AMADOR COUNTY UNIFIED SCHOOL DISTRICT,805,,NA
466,100006493,JULIAN UNION HIGH SCHOOL DISTRICT,805,,NA
467,100006519,JUNCTION SCH-CO SPEC ED CLASS,805,,NA
468,100006543,KEPPEL UNION SCHOOL DISTRICT,805,,NA
469,100006576,KERNVILLE UNION SCHOOL DISTRICT,805,,NA
470,100006613,"WILLOW CREEK OUTFITTERS, INC",805,,NA
471,100006691,LA HONDA-PESCADERO UNIFIED SCHOOL DISTRICT,805,,NA
472,100006717,LAGUNA SALADA UNION SCHL DIST,805,,NA
473,100006725,LAKEPORT UNIFIED SCHOOL DISTRICT,805,,NA
474,100006741,LAMMERSVILLE ELEM SCH DIST,805,,NA
475,100006758,LAMONT ELEMENTARY SCHOOL DISTRICT,805,,NA
476,100006832,LE GRAND UNION HIGH SCHOOL DISTRICT,805,,NA
477,100006964,LOS ALAMOS ELEMENTARY SCHOOL DISTRICT,805,,NA
478,100006980,LOS GATOS UNION SCHOOL DISTRICT,805,,NA
479,100007041,MOBILE EIGHT HOLDING LTD,805,,NA
480,100007087,MAMMOTH UNIFIED SCHOOL DISTRICT,805,,NA
481,100007186,MARYSVILLE JOINT UNIFIED SCHOOL DISTRICT,805,,NA
482,100007194,MATTOLE UNIFIED SCHOOL DISTRICT,805,,NA
483,100007202,MAXWELL UNIFIED SCHOOL DIST,805,,NA
484,100007277,MENDOTA UNIFIED SCHOOL DISTRICT,805,,NA
485,100007293,MERCED RIVER UNION SCHOOL DISTRICT,805,,NA
486,100007442,MOTHER LODE UNION ELEMENTARY SCHOOLS,805,,NA
487,100007459,MOUNT SHASTA UNION SCHOOL DISTRICT,805,,NA
488,100007491,MOUNTAIN VIEW-LOS ALTOS UNION HIGH SCHOOL DISTRICT,805,,NA
489,100007517,CITY OF DUBLIN,805,,NA
490,100007541,NATOMAS UNIFIED SCHOOL DISTRICT,805,,NA
491,100007566,NEVADA CITY SCHOOL DISTRICT,805,,NA
492,100007673,NUVIEW UNION SCHOOL DISTRICT,805,,NA
493,100007681,OAK GROVE UNION ELEMENTARY SCHOOL DISTRICT,805,,NA
494,100007749,OAKLEY UNION SCHOOL DISTRICT,805,,NA
495,100007756,OCEAN VIEW ELEMENTARY SCHOOL DISTRICT,805,,NA
496,100007814,ORLAND UNIFIED SCHOOL DISTRICT,805,,NA
497,100007871,OWENS VALLEY UNIFIED SCHOOL DISTRICT,805,,NA
498,100007897,PACIFIC ELEMENTARY SCHOOL DISTRICT,805,,NA
499,100007939,PANAMA-BUENA VISTA UNION SCHOOL DISTRICT,805,,NA
500,100007954,PARLIER UNIFIED SCHOOL DISTRICT,805,,NA
